,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
MW709911.1,Marinobacter alkaliphilus,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,,,,,,,,,,,,
MW709883.1,Stenotrophomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,,,,,,,,,,,,
MW709645.1,Serratia marcescens,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,,,,,,,,,,,,,
MW709644.1,Shigella flexneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,,,,,,,,,,,,
MW709643.1,Providencia vermicola,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,,,,,,,,,,,,,
MW709642.1,Providencia vermicola,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,,,,,,,,,,,,,
MW709641.1,Shigella flexneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,,,,,,,,,,,,
MW709640.1,Alcaligenes faecalis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,,,,,,,,,,,,,
MW709639.1,Alcaligenes faecalis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,,,,,,,,,,,,,
MW709593.1,Enterobacter sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,,,,,,,,,,,,,
MW709529.1,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,,,,,,,,,,,,,
MW709519.1,Microvirga sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,unclassified Microvirga,,,,,,,,,,,,
MW709516.1,Psychrobacter sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,,,,,,,,,,,,,
MW709513.1,Paracoccus sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,,,,,,,,,,,,
MW709444.1,Pectobacterium carotovorum,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,,,,,,,,,,,,,
MW709443.1,Pectobacterium brasiliense,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,,,,,,,,,,,,,
MW709436.1,Devosia sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,,,,,,,,,,,,,
MW709434.1,Thioclava sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thioclava,unclassified Thioclava,,,,,,,,,,,,
MW709395.1,Candidatus Portiera aleyrodidarum,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Zymobacter group,Candidatus Portiera,,,,,,,,,,,,
MW704276.1,Pantoea stewartii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,,,,,,,,,,,,,
MW704275.1,Alcanivorax sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,unclassified Alcanivorax,,,,,,,,,,,,
MW704274.1,Thalassospira sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,unclassified Thalassospira,,,,,,,,,,,,
MW704273.1,Idiomarina sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,,,,,,,,,,,,
MW704272.1,Marinimicrobium sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,unclassified Marinimicrobium,,,,,,,,,,,,
MW704271.1,Idiomarina sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,,,,,,,,,,,,
MW704270.1,Pseudoalteromonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,,,,,,,,,,,,
MW704269.1,Pseudoalteromonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,,,,,,,,,,,,
MW704268.1,Marinimicrobium sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,unclassified Marinimicrobium,,,,,,,,,,,,
MW704267.1,Thalassospira sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,unclassified Thalassospira,,,,,,,,,,,,
MW704266.1,Erythrobacter sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter/Porphyrobacter group,Erythrobacter,unclassified Erythrobacter,,,,,,,,,,,
MW704265.1,Pseudoalteromonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,,,,,,,,,,,,
MW704264.1,Pseudomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW704263.1,Pseudomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW704262.1,Pseudooceanicola sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,,,,,,,,,,,,,
MW704261.1,Halomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,,,,,,,,,,,,
MW704260.1,Idiomarina sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,,,,,,,,,,,,
MW704259.1,Marinimicrobium sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,unclassified Marinimicrobium,,,,,,,,,,,,
MW704258.1,Vibrio sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,,,,,,,,,,,,
MW704257.1,Alcanivorax sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,unclassified Alcanivorax,,,,,,,,,,,,
MW704256.1,Vibrio sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,,,,,,,,,,,,
MW704255.1,Vibrio sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,,,,,,,,,,,,
MW704254.1,Vibrio sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,,,,,,,,,,,,
MW704253.1,Epibacterium sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,unclassified Epibacterium,,,,,,,,,,,,
MW704252.1,Epibacterium sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,unclassified Epibacterium,,,,,,,,,,,,
MW704251.1,Marinimicrobium sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,unclassified Marinimicrobium,,,,,,,,,,,,
MW704250.1,Thalassospira sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,unclassified Thalassospira,,,,,,,,,,,,
MW704249.1,Alcanivorax sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,unclassified Alcanivorax,,,,,,,,,,,,
MW704248.1,Marinimicrobium sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,unclassified Marinimicrobium,,,,,,,,,,,,
MW704247.1,Idiomarina sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,,,,,,,,,,,,
MW704246.1,Alteromonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,,,,,,,,,,,,,
MW704245.1,Pseudoalteromonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,,,,,,,,,,,,
MW704244.1,Alteromonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,,,,,,,,,,,,,
MW704243.1,Epibacterium sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,unclassified Epibacterium,,,,,,,,,,,,
MW704242.1,Epibacterium sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,unclassified Epibacterium,,,,,,,,,,,,
MW704241.1,Marinimicrobium sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,unclassified Marinimicrobium,,,,,,,,,,,,
MW704240.1,Epibacterium sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,unclassified Epibacterium,,,,,,,,,,,,
MW704238.1,Epibacterium sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,unclassified Epibacterium,,,,,,,,,,,,
MW704237.1,Erythrobacter sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter/Porphyrobacter group,Erythrobacter,unclassified Erythrobacter,,,,,,,,,,,
MW704236.1,Epibacterium sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,unclassified Epibacterium,,,,,,,,,,,,
MW704235.1,Roseovarius sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,,,,,,,,,,,,,
MW704233.1,Halomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,,,,,,,,,,,,
MW704232.1,Marinobacter sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,,,,,,,,,,,,
MW704231.1,Alteromonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,,,,,,,,,,,,,
MW704230.1,Alteromonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,,,,,,,,,,,,,
MW704229.1,Halomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,,,,,,,,,,,,
MW704228.1,Halomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,,,,,,,,,,,,
MW704227.1,Roseovarius sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,,,,,,,,,,,,,
MW704226.1,Pseudomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW704225.1,Thalassospira sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,unclassified Thalassospira,,,,,,,,,,,,
MW704224.1,Thalassospira sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,unclassified Thalassospira,,,,,,,,,,,,
MW704223.1,Pseudomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW704222.1,Thalassospira sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,unclassified Thalassospira,,,,,,,,,,,,
MW704221.1,Thalassospira sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,unclassified Thalassospira,,,,,,,,,,,,
